NAME,PRICE,PEGI,GENRE,MODE,OS,CPU,GPU,RAM,STORAGE
R.E.P.O.,"9,49€",16+,"Action, Early Access","Online Co-op, Single-player",Windows 10,Core i5 6600,GTX 970,8 GB RAM,1 GB available space
BeamNG.drive,"22,50€",N/A,"Racing, Simulation, Early Access",Single-player,BeamNG.,AMD Ryzen 5 1600 / Intel Core i5 8400,Minimum 6GB VRAM (AMD Radeon RX 570 / Nvidia GeForce GTX 1060),16 GB RAM,60 GB available space
Once Human,Free To Play,16+,"Action, Adventure, RPG, Simulation, Strategy, Free To Play","MMO, Online Co-op, Online PvP",Windows 10 64-bit Operating System,Intel Core i5-4460,Nvidia GTX 750ti 4G / AMD Radeon RX550,8 GB RAM,90 GB available space
Bellwright,"28,99€",16+,"Action, RPG, Simulation, Strategy, Early Access","Online Co-op, Single-player",Windows 10 / Windows 11,Intel Core i5-8600 / AMD Ryzen 5 3600,NVIDIA GeForce GTX 1070 8GB / AMD Radeon RX 580 8GB / Intel ARC A580 8GB,16 GB RAM,24 GB available space
FINAL FANTASY XIV Online,"9,99€",12+,"Massively Multiplayer, RPG","Cross-Platform Multiplayer, MMO, Online Co-op, Online PvP, Single-player",Windows® 11 64 bit,Intel® Core™i7-7700 or higher,"NVIDIA GeForce GTX 970 or higher, AMD Radeon RX 480 or higher",8 GB RAM,140 GB available space
Clair Obscur: Expedition 33,"49,99€",16+,"Action, RPG",Single-player,Windows 10,Intel Core i7-8700K / AMD Ryzen 5 1600X,NVIDIA GeForce GTX 1060 6 GB / AMD Radeon RX 5600 XT 6 GB / Intel Arc A380 6 GB,8 GB RAM,55 GB available space
Phasmophobia,"13,65€",16+,"Action, Indie, Early Access","Online Co-op, Single-player",Windows 10 64Bit,Intel Core i5-4590 / AMD Ryzen 5 2600,NVIDIA GTX 970 / AMD Radeon R9 390,8 GB RAM,21 GB available space
Disney Dreamlight Valley,"39,99€",12+,"Action, Adventure, Casual, RPG, Simulation",Single-player,Windows 10,Intel Core i3-540 or AMD Phenom II X4 940,"NVIDIA GeForce 9600 GT, 512 MB or AMD Radeon HD 6570, 1 GB",6 GB RAM,15 GB available space
"Warhammer 40,000: Darktide","75,54€",18+,"Action, Adventure, RPG","Cross-Platform Multiplayer, Online Co-op",Windows 10 (64 bit) / Windows 11 (64 bit),Intel i5-6600 (3.30GHz) OR AMD Ryzen 2400G (3.6 GHz),NVIDIA GeForce GTX 970 OR AMD Radeon RX 570,8 GB RAM,72 GB available space
Factorio,Factorio Demo,6+,"Casual, Indie, Simulation, Strategy","Cross-Platform Multiplayer, LAN Co-op, Online Co-op, Single-player","Windows 11, 10",Quad core 3Ghz+,"DirectX 11 capable GPU with 1GB VRAM - GeForce GTX 750 Ti, Radeon R7 360 or Intel UHD Graphics 730",8 GB RAM,5 GB available space
Train Sim World® 6,"39,99€",N/A,Simulation,Single-player,64-bit Windows 10 or Windows 11,Intel Core i5-4690 @ 3.5 GHz or AMD Ryzen 5 1500X @ 3.7 GHz,NVIDIA GeForce GTX 750 Ti or AMD Radeon RX 460 with 2 GB VRAM or more,8 GB RAM,35 GB available space
STAR WARS™: The Old Republic™,Free To Play,12+,"Massively Multiplayer, RPG, Free To Play",MMO,Windows 10 or later – 64-bit,AMD Athlon 64 X2 Dual-Core 4000+ or better / Intel Core 2 Duo 2.0GHz or better,Star Wars: The Old Republic requires a video card that has a minimum of 1 GB of on-board RAM as well as support for Shader 3.0 or better. Examples include: Intel HD 3000 or better/AMD Radeon HD 7450/Nvidia GeForce 610,6 GB RAM,75 GB available space
Titan Quest II,"3,99€",16+,"Action, RPG, Early Access","Online Co-op, Single-player",Windows 10 64bit / Windows 11 64bit,Intel Core i5-8600K / AMD Ryzen 5 2600X,"8 GB VRAM, AMD RX 6700 XT or NVIDIA GeForce RTX 2070",16 GB RAM,50 GB available space
