NAME,PRICE,PEGI,MODE,OS,CPU,GPU,RAM,STORAGE
Dead by Daylight,"19,99€",18+,"Cross-Platform Multiplayer, Online Co-op, Online PvP",Windows 10 64-bit Operating System,Intel Core i3-4170 or AMD FX-8120,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,8 GB RAM,50 GB available space
Battlefield™ 6,"69,99€",18+,"Cross-Platform Multiplayer, Online PvP, Single-player",Windows 10,"Intel Core i5-8400, AMD Ryzen 5 2600","Nvidia RTX 2060, AMD Radeon RX 5600 XT 6GB, Intel Arc A380",16 GB RAM,55 GB available space
Baldur's Gate 3,"59,99€",18+,"Cross-Platform Multiplayer, LAN Co-op, Online Co-op, Single-player",Windows 10 64-bit,Intel I5 4690 / AMD FX 8350 / Snapdragon X Elite,Nvidia GTX 970 / RX 480 / Intel Arc A380 / Qualcomm Adreno X1 (4GB+ of VRAM),8 GB RAM,150 GB available space
"Warhammer 40,000: Space Marine 2","167,02€",18+,"Cross-Platform Multiplayer, Online Co-op, Online PvP, Single-player",Windows 10 (1903 min)/11 64-bit,AMD Ryzen 5 2600X / Intel Core i5-8600K,"6 GB VRAM, AMD Radeon RX 580 / Nvidia GeForce GTX 1060",8 GB RAM,75 GB available space
EA SPORTS FC™ 26,"69,99€",12+,"Cross-Platform Multiplayer, Online Co-op, Online PvP, Shared/Split Screen Co-op, Shared/Split Screen PvP, Single-player",Windows 10/11 - 64-Bit (Latest Update).,AMD Ryzen 5 1600 or Intel Core i5 6600k,AMD RX 570 or Nvidia GTX 1050 Ti,8 GB RAM,100 GB available space
RV There Yet?,"7,79€",12+,"Online Co-op, Single-player",Windows 10,Core i7-3820 or equivalent,NVidia 970 or equivalent,8 GB RAM,3200 MB available space
Dota 2,Free To Play,12+,Single-player,macOS 10.15 or newer,Dual core from Intel or AMD at 2.8 GHz,"NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600",4 GB RAM,60 GB available space
Apex Legends™,Free To Play,16+,"Online Co-op, Online PvP",64-bit Windows 10,"AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent","AMD Radeon™ HD 7790 (2 GB), NVIDIA GeForce® GTX 950",6 GB RAM,75 GB available space
Avatar: Frontiers of Pandora™,"29,99€",16+,"Online Co-op, Single-player",Windows 10/11 (64-bit versions),"AMD Ryzen 5 3600 @ 3.6 GHz, Intel Core i7-8700K @ 3.70 GHz, or better","AMD RX 5700 (8 GB), Intel Arc A750 (8 GB, with ReBAR on), NVIDIA GeForce GTX 1070 (8 GB), or better",16 GB RAM,90 GB available space
Farming Simulator 25,"29,99€",N/A,"Online Co-op, Single-player",Windows 10 64bit,"Intel Core i5-6400, AMD Ryzen 5 1400, or better","Nvidia GeForce GTX 1050Ti, AMD Radeon RX 470 graphics card or better (min 3GB VRAM, DX12 support)",8 GB RAM,45 GB available space
Rust,"39,99€",16+,"Cross-Platform Multiplayer, MMO, Online Co-op, Online PvP",Windows 11 64bit,AMD Ryzen 5 1400 or Intel Core i5-6600,"AMD Radeon RX 470, NVIDIA GeForce GTX 1060, Intel® Arc™ A580",12 GB RAM,45 GB available space
Quarantine Zone: The Last Check,"17,99€",16+,Single-player,Windows 10 x64 Bit,Intel Core i7-5820K / AMD FX-8370,GeForce GeForce GTX 980 / Radeon RX 470 / Arc A380,8 GB RAM,12 GB available space
